filename,view,psnr_unique3d,ssim_unique3d,lpips_unique3d,clip_sim_unique3d,psnr_zero123,ssim_zero123,lpips_zero123,clip_sim_zero123
Nikon_1_AW1_w11275mm_Lens_Silver,right,8.638338487061112,0.5219849481020097,0.6741015911102295,77.5,9.408382147090986,0.595488717320554,0.606939971446991,62.09375
Nikon_1_AW1_w11275mm_Lens_Silver,back,11.384028293535867,0.4455893927985378,0.505901575088501,90.3125,7.022163259455882,0.4527296019691962,0.6045687198638916,65.0625
Nintendo_2DS_Crimson_Red,front,8.134836072198013,0.6858652991997739,0.23587675392627716,110.625,7.427342373072384,0.6310804019942327,0.4188652038574219,95.3125
Nintendo_2DS_Crimson_Red,left,13.491406834436452,0.8986219268926305,0.15846893191337585,110.5,5.652487192719217,0.6564859963685922,0.4995928406715393,96.25
Nintendo_2DS_Crimson_Red,right,13.673893975650866,0.8958063510970793,0.1607861965894699,101.6875,4.7974728493101795,0.5742222623023775,0.5880946516990662,90.0625
Nintendo_2DS_Crimson_Red,back,7.166801286761285,0.4693934989653952,0.5417753458023071,86.6875,7.543652758190675,0.44749760367711955,0.47262370586395264,80.9375
Nintendo_Mario_Action_Figure,front,7.059368755579396,0.6396084579271565,0.4588017165660858,109.3125,9.228249147608523,0.7404867251964039,0.3818223476409912,106.8125
Nintendo_Mario_Action_Figure,left,7.473469319471789,0.6742609093968491,0.5489019751548767,100.6875,9.025058231071508,0.764519655400435,0.41734394431114197,95.5
Nintendo_Mario_Action_Figure,right,7.185888424651148,0.6692764423176298,0.5513191819190979,76.125,7.747024731281657,0.7279427459623217,0.4644263982772827,95.875
Nintendo_Mario_Action_Figure,back,6.812649185050363,0.6307525462705186,0.5261119604110718,93.875,8.775884815546954,0.7534141773492667,0.4545758366584778,84.125
Ortho_Forward_Facing_CkAW6rL25xH,front,12.977806724490632,0.7545231420307311,0.14738829433918,117.625,5.245003581859201,0.4622162141073792,0.47420257329940796,107.4375
Ortho_Forward_Facing_CkAW6rL25xH,left,7.319199893052634,0.5742529772756227,0.5155250430107117,97.1875,8.760599524632747,0.5821374482477051,0.4581676125526428,85.5
Ortho_Forward_Facing_CkAW6rL25xH,right,7.220285922244995,0.506846810661114,0.5202367305755615,91.0,8.311823770241046,0.5686423037548488,0.4765763282775879,92.8125
Ortho_Forward_Facing_CkAW6rL25xH,back,5.710468881931475,0.268386844100295,0.6800411343574524,94.8125,8.208815371197264,0.4430320915691921,0.5870773792266846,99.6875
Razer_Kraken_Pro_headset_Full_size_Black,front,5.111291490606286,0.5584809056470624,0.5187355279922485,110.375,7.901154275135138,0.7209591130622746,0.37482649087905884,116.125
Razer_Kraken_Pro_headset_Full_size_Black,left,4.58775171527677,0.5499887929665205,0.6098001003265381,100.25,6.766901328296633,0.7024747973098567,0.5327804088592529,103.125
Razer_Kraken_Pro_headset_Full_size_Black,right,4.53204142028585,0.5391024780344803,0.6018288731575012,106.5625,6.8486828272105384,0.7082066658385427,0.498166024684906,108.75
Razer_Kraken_Pro_headset_Full_size_Black,back,5.540692148768848,0.5762019431872525,0.5426366329193115,68.1875,8.136955223520673,0.7193301613839953,0.4328448176383972,67.1875
REEF_BANTU,front,27.424733119620885,0.9323589837164148,0.014093995094299316,127.5,10.422312028889333,0.8117000136740238,0.2550114393234253,120.1875
REEF_BANTU,left,8.665855193198137,0.7965492303949888,0.35857489705085754,88.625,8.345386612185822,0.7556103985232963,0.43735840916633606,96.875
REEF_BANTU,right,9.018552746558377,0.8112988076345068,0.3495303690433502,96.6875,7.153873400275819,0.7236713305212082,0.49470221996307373,96.875
REEF_BANTU,back,10.234111417781502,0.7546449613267607,0.3056190013885498,107.6875,12.770525768934057,0.8305647659934225,0.22517810761928558,110.0625
Saccharomyces_Boulardii_MOS_Value_Size,front,12.166674347932469,0.8623664631628564,0.24906152486801147,122.5625,15.316421263785326,0.8967959721705001,0.13481402397155762,125.375
Saccharomyces_Boulardii_MOS_Value_Size,left,9.102482464323625,0.7611172575600677,0.4942113161087036,77.4375,11.245272411763253,0.757069226188608,0.4656291604042053,79.3125
